"编号","层面","子项","pi-dictation 现状","howaboua 做法","差异性质","结论","优先级","改动量","建议动作","风险与代价","证据","状态"
"1","交互","按住说话的松开丢失","第二次按下即判定终端不支持松开，降级为 toggle 并提示一次（holdUnsupported）","启动录音时挂 650ms 兜底计时器，自动重复键把它重置为 120ms，收到 release 立即结束","兜底策略不同","部分借","中","小","保留现有降级提示，另加一个默认关闭的兜底计时器","若终端既不发重复键也不发 release，650ms 就会切断录音；必须先确认终端类型","index.ts:342-366 / pi-gippity-control/src/voice/shortcuts.ts:14-15,58-80","未实施"
"2","交互","自动重复键处理","isKeyRepeat 直接消费，长按不会误停","同样消费；push 模式下用重复键给兜底计时器续期","相同","不借","-","-","保持现状","-","index.ts:539-556 / shortcuts.ts:100-118","未实施"
"3","交互","快捷键注册方式","故意不注册 registerShortcut，在 onTerminalInput 抢先消费 ctrl+r，避开 pi 的 rename 冲突提示","registerShortcut 与 onTerminalInput 双轨（绑 ctrl+alt+d，pi 未占用）","方案不同","不借","-","-","保持现状","-","index.ts:426-434 / shortcuts.ts:78-98","未实施"
"4","交互","按键身份比较","matchesKey 直接匹配","额外用 keyIdentity 去掉修饰键前缀，判断是否为同一物理键","细节差异","不借","-","-","-","只影响复杂修饰键组合","shortcuts.ts:140-142","未实施"
"5","插入","插入点前后的空格","formatTranscript 只补尾随空格；插到已有文本中间会得到 hello听写 这类粘连","insertTranscript 依据相邻字符补前/后空格","对方更完整","借","中","小","在 insertIntoPrompt 按光标前后字符补空格（约 6 行）","需要读光标附近文本；流式草稿路径不要重复补","index.ts:293-300,374-379 / pi-codex-conversion/src/voice/lan/draft.ts:43-56","已实施"
"6","插入","光标处流式写字","有：origin/lastLive、光标跟随、Ctrl+U 清空保护","无流式；只在结束时整段插入","我方更强","不借","-","-","-","-","ui.ts:184-212","未实施"
"7","插入","多端并发草稿","单端，无版本号","revision 校验 + 冲突报错，防止两端互相覆盖","场景不同","不借","-","-","-","只有做手机/局域网输入才需要","lan/draft.ts:57-70","未实施"
"8","提交","忙时投递语义","忙时用 deliverAs: followUp（排到当前回合之后）","忙时用 deliverAs: steer（注入正在进行的回合）","行为差异","部分借","低","小","若要，加配置项 submitWhenBusy: followUp|steer","steer 会打断进行中的回合，默认应保持 followUp","index.ts:381-391 / session-messages.ts:242-253","未实施"
"9","流程","状态机","state（idle/recording/transcribing）+ busy 布尔","显式 idle/starting/recording/finishing/failed/closed + startupFailure 保存启动期错误","表达方式不同","不借","-","-","-","我方 await 后都重新检查 state/handle，等价","pi-gippity-control/src/voice/dictation/session.ts:8-13,60-84","未实施"
"10","云端","最短音频门槛","录音侧有 512 字节门槛；很短的录音仍会真的打一次云接口","提交前按 4800 字节（24kHz 约 100ms）直接返回空，不打接口","对方省一次请求","借","中","小","云端分支加有效语音时长下限（约 0.3s）再调用","门槛太高会吃掉很短但有效的口令","pi-gippity-control/src/voice/dictation/transcriber.ts:9,100-107","已实施"
"11","云端","转写超时","90s 默认，可用 PI_DICTATION_TIMEOUT_MS 调","等待完成 10s","我方可调","不借","-","-","-","本地模型更慢，10s 会误杀","core.ts:20 / transcriber.ts:11","未实施"
"12","云端","响应体大小上限","readJson 先整份读入 response.json()，之后才截断显示","事件 72KB、转录 64KB、JSONL 行 512KB 全部设上限，超限即失败","对方防内存打爆","借","低","小","读体前看 Content-Length，或累计到上限即中止","属安全加固；正常响应远小于上限","providers/openai-compatible.ts:66-88 / transcriber.ts:11-12,159,194","未实施"
"13","传输","断线自动重连","无（一次性短请求，失败即报错）","长连接 realtime 掉线后按配置自动重建","场景不同","不借","-","-","-","-","controller-reconnect.ts:26-40","未实施"
"14","传输","代理支持","依赖 pi 启动时安装的 EnvHttpProxyAgent；CLI 的 shebang 已带 NODE_USE_ENV_PROXY=1","显式用 proxy-from-env 逐 URL 解析，并按调用作用域化进程 env","双方都已覆盖","不借","-","-","-","可在 README 补一句：云端走 HTTP(S)_PROXY","pi dist chunk-JVUZSMYM.js(setGlobalDispatcher) / websocket-connection.ts:1-30","未实施"
"15","配置","原子写入","writeFileSync 直接覆盖","先写临时文件，再 renameSync","对方更稳","借","中","小","saveConfig 改为写 .tmp 再 rename","几乎无","config.ts:170-174 / config-store.ts:83-118","已实施"
"16","配置","文件权限","跟随 umask（通常 644）","显式 mode 0o600","配置可能含明文 apiKey","借","中","小","writeFileSync 加 mode 0o600","已存在的文件不会被改，需额外 chmod 一次","config-store.ts:104-114","未实施"
"17","配置","保留未知键","写回归一化对象，未知顶层键会丢；providers 下的未知键保留","mergeDocument 递归合并，保留文件里其他键","对方不丢用户手写内容","借","中","中","写盘前先读磁盘原文再深度合并","要区分自有键与用户键，否则旧键删不掉（对方用 clearAbsentOwnedOptionals 处理）","config.ts:170-230 / config-store.ts:23-50","未实施"
"18","配置","不覆盖已存在文件","ensureConfigFile 已实现","无此保护，总是合并写","我方更好","不借","-","-","-","-","config.ts:159-168","未实施"
"19","配置","环境变量覆盖","PI_DICTATION_PROVIDER / KEYBIND / KEYBIND_MODE / LOCALE","无","我方更好","不借","-","-","-","-","config.ts:180-201","未实施"
"20","配置","功能迁移标记","无","audioSetupCompleted 标记，用来判断旧配置是否需要引导一次","对方用于一次性引导","部分借","低","小","若将来要做只提示一次的功能，再加一个标记字段","多一个字段要维护","config-store.ts:60-75","未实施"
"21","错误","面向 agent 的修复指令","有静音/设备诊断，但消息是给人看的","formatVoiceAudioError 直接在消息里写 Agent: 检查设备、删掉 voice.inputDevice、然后让用户重试","对方把失败变成可自动修复的工单","借","高","小","设备打不开或静音时，附一段给 agent 的操作指令（改哪个键、怎么验证）","消息变长；对方的输入/输出方向靠错误文本正则判断，容易误判，需按实际情况写","pi-gippity-control/src/voice/setup.ts:5-40 / core.ts:145-175,mic.ts","已实施"
"22","错误","HTTP 失败分类","describeHttpFailure 区分 401/403/413/429 并给建议","无对应实现（走 WebSocket 事件解包）","我方更好","不借","-","-","-","-","providers/endpoint.ts:25-39","未实施"
"23","错误","录音静音诊断","probeMic + describeSilence 点名设备和替代方案","只有设备打不开的错误","我方更完整","不借","-","-","-","-","core.ts:145-175","未实施"
"24","UI","会话内听写卡片","无（只有边框色、音量条、状态栏）","自定义 message/entry 渲染：Codex Dictation · Active/Ended","对方多一层可见记录","部分借","低","中","确实需要历史记录感时再做","增加渲染代码；听写文字本身已在输入框可见","pi-codex-conversion/src/voice/ui.ts:90-146,156-183","未实施"
"25","模型上下文","提示模型输入来自语音","无","realtime 模式注入 <codex_voice_mode>；听写模式只渲染卡片、不进上下文","对方对听写同样保持沉默","不借","-","-","-","保持现状，避免每轮多一段提示","ui.ts:186-210 / session-messages.ts:171-179","未实施"
"26","UI","交互式设置界面","/dictation 文本输出 + provider/model 子命令","SettingsList 方向键界面（319 行），直接改配置","取向不同","不借","-","-","-","与项目的一个默认 + 清晰诊断取向冲突，代码量最大","pi-gippity-control/src/settings.ts:20-60","未实施"
